epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.6124,3.05027,3.61361,1.49314,0.537,0.1556,0.04908,0.01438,2.80014,3.09198,1.42032,0.000301307,0.000301307,0.000301307
2,135.939,2.75553,2.69196,1.36394,0.42148,0.09946,0.06658,0.02051,2.8005,2.75158,1.53339,0.000544481,0.000544481,0.000544481
3,197.043,2.71221,2.54989,1.36189,0.28364,0.16198,0.09133,0.0289,2.64934,2.57854,1.36838,0.00072766,0.00072766,0.00072766
4,258.566,2.66849,2.46196,1.35727,0.43606,0.18669,0.11377,0.0371,2.6231,2.55021,1.38867,0.000639027,0.000639027,0.000639027
5,318.414,2.62075,2.36397,1.34816,0.46119,0.18022,0.12313,0.0389,2.61128,2.35748,1.40353,0.000549036,0.000549036,0.000549036
6,376.132,2.59786,2.30533,1.33475,0.4641,0.19337,0.1311,0.04167,2.56713,2.26476,1.35162,0.000459045,0.000459045,0.000459045
7,435.536,2.56272,2.23501,1.32237,0.37784,0.22941,0.15929,0.05293,2.51124,2.25696,1.34295,0.000369054,0.000369054,0.000369054
8,499.628,2.55834,2.20026,1.31604,0.38706,0.22467,0.15342,0.04985,2.52448,2.25942,1.36317,0.000279063,0.000279063,0.000279063
9,559.53,2.52753,2.15096,1.30172,0.37546,0.24029,0.16039,0.05165,2.52665,2.29183,1.3444,0.000189072,0.000189072,0.000189072
10,618.998,2.50347,2.10723,1.29614,0.41001,0.2494,0.17448,0.05941,2.49035,2.20833,1.35615,9.9081e-05,9.9081e-05,9.9081e-05
